,emit,attract,distance,y
840,5.109333666880532,5.495691725968284,9.691551168298433,3.3170908723651555
842,5.109333666880532,4.45457982735559,9.357401527282553,2.859912550411456
843,5.109333666880532,4.323602714536165,9.408232619504906,3.095577608523707
844,5.109333666880532,4.040943785494986,9.289500599032062,2.21046980408624
845,5.109333666880532,4.086648355587631,9.326096354547934,2.0769384114617173
846,5.109333666880532,4.090336540824562,9.732904369729171,0.6931471805599453
847,5.109333666880532,3.989724513091998,9.66873895858215,0.9858167945227654
849,5.109333666880532,3.6264719939853194,9.337997931156986,1.9740810260220096
850,5.109333666880532,3.459466289786131,9.657873323212836,0.1823215567939546
851,5.109333666880532,3.3734835430946397,7.747798055257978,0.5653138090500605
853,5.109333666880532,3.221272949467922,7.068338663424828,0.0
854,5.109333666880532,3.1970391302590264,6.786875794727187,0.03922071315328133
855,5.109333666880532,3.1780538303479458,9.342796051951916,1.0647107369924282
856,5.109333666880532,3.074543453978281,8.796831081954982,1.0986122886681098
857,5.109333666880532,3.109060958860994,8.614665006923353,0.9477893989335261
858,5.109333666880532,3.1188344706879745,9.325692939074163,0.9082585601768908
860,5.109333666880532,3.0349529867072724,9.399188759676937,2.372111155642656
861,5.109333666880532,2.9601050959108397,9.447702745638095,1.5173226235262947
863,5.109333666880532,2.714694743820879,9.154062119853037,0.44468582126144574
864,5.109333666880532,2.6490076604684267,9.138060610439044,0.11332868530700327
865,5.109333666880532,2.739548868161581,8.910757030369766,0.6523251860396901
867,5.109333666880532,2.6878474937846906,8.516838831763272,0.3074846997479607
869,5.109333666880532,2.6490076604684267,9.264248370044802,0.5068176023684519
870,5.109333666880532,2.641910398597665,9.193083238488077,1.4060969884160703
874,5.109333666880532,2.298577071596507,9.261819532878546,0.7419373447293773
875,5.109333666880532,2.1138429683971682,9.156766106440205,0.2151113796169455
877,5.109333666880532,2.25758772706331,9.278499771221624,0.494696241836107
878,5.109333666880532,2.272125885509337,9.291153035561422,0.6830968447064438
880,5.109333666880532,2.149433913499871,9.30035807342229,0.494696241836107
882,5.109333666880532,2.1186622548331173,9.23679182181363,0.41871033485818504
887,5.109333666880532,1.814824742159051,9.244500129246221,0.26236426446749106
890,5.109333666880532,1.827769906751088,9.426690902882791,0.03922071315328133
906,5.109333666880532,1.205970806988609,9.096357832328012,0.36464311358790924
910,1.085189268335969,5.495691725968284,9.624442616670112,0.14842000511827322
980,4.024279687773814,5.495691725968284,9.638903516627632,3.572345637857985
981,4.024279687773814,4.88022284203973,9.293664139398695,0.7419373447293773
982,4.024279687773814,4.45457982735559,9.282499501614879,0.19885085874516517
983,4.024279687773814,4.323602714536165,9.341379856222034,0.5187937934151675
987,4.024279687773814,3.989724513091998,9.617300585814888,0.883767540168595
990,4.024279687773814,3.459466289786131,9.680382330565465,0.3220834991691132
1013,4.024279687773814,2.449279472144849,9.871191829630874,0.43178241642553783
1021,4.024279687773814,2.1186622548331173,9.84298753233159,0.0
1050,1.472472057360943,5.495691725968284,8.68130179908867,0.6097655716208943
1120,3.26804686887465,5.495691725968284,9.308324707412009,1.5085119938441398
1128,3.26804686887465,3.722797672317397,8.995027227865526,0.9858167945227654
1131,3.26804686887465,3.3734835430946397,8.510731637813414,0.5766133643039938
1132,3.26804686887465,3.2950958507796098,8.796831081954982,0.09531017980432493
1134,3.26804686887465,3.1970391302590264,8.68353298106751,0.7975071958841882
1137,3.26804686887465,3.109060958860994,9.40031251986228,0.23111172096338664
1148,3.26804686887465,2.67000213346468,8.709406741450039,0.8415671856782185
1151,3.26804686887465,2.6188546222977394,8.84061439374038,0.5538851132264376
1156,3.26804686887465,2.3263016196113617,8.81081107880663,0.16551443847757333
1190,4.196299284745094,5.495691725968284,9.680893410815699,1.8991179875485542
1191,4.196299284745094,4.88022284203973,9.74163120219753,2.5967461315435356
1192,4.196299284745094,4.45457982735559,9.739524221016813,2.1701959049483
1194,4.196299284745094,4.040943785494986,9.700958425530176,1.827769906751088
1195,4.196299284745094,4.086648355587631,9.714909943957379,1.275362800412609
1196,4.196299284745094,4.090336540824562,9.471563586053792,0.3920420877760237
1199,4.196299284745094,3.6264719939853194,9.720652543635698,0.6418538861723947
1200,4.196299284745094,3.459466289786131,9.500900062805211,0.0
